ID,Interest_Rate,EMI
APPG90389884625,31.5,848
APPG90403223448,14.85,1186
APPG90413323614,20,372
APPG90419972201,16.75,1206
APPG90425668605,20,530
APPG90426724647,17.75,1494
APPG90457965224,16.25,569
APPG90487174041,14.85,1443
APPG90511045233,20,372
APPG90522441031,13.99,1000
APPG90582766046,15.25,783
APPG90588022012,31.5,996
APPG90597156613,14.85,1749
APPG90605428608,13.99,1796
APPG90644835805,24,1057
APPG90646816448,20,1139
APPG90651684444,15.5,562
APPG90657128046,15.5,2095
APPG90690152037,19,934
APPG90701848622,20,874
APPG90706952413,15.75,484
APPG90715707241,18.25,295
APPG90727554048,31.5,510
APPG90732201013,16.25,1423
APPG90734206624,14.85,4163
APPG90797081832,14.5,1859
APPG90844999646,15.75,846
APPG90858865443,20,1616
APPG90863395049,35.5,864
APPG90873796817,31.5,1070
APPG90888946828,20,397
APPG90895004249,14.85,500
APPG90897539004,14.85,2869
APPG90900513449,20,1166
APPG90902044433,13.5,3451
APPG90903173818,15.25,904
APPG90909344231,20,1325
APPG90910343604,31.5,1180
APPG90912584441,16.75,1066
APPG90918267247,15.25,2871
APPG90918736203,35.5,455
APPG90921772614,17.5,994
APPG90922088401,16.75,986
APPG90948279035,20,397
APPG90995066235,15,1189
APPH10006639305,18.25,295
APPH10029363123,18.25,1357
APPH10032637113,15.25,2392
APPH10034922934,20,1060
APPH10049137531,20,913
APPH10049267134,15.25,1398
APPH10049887112,13.99,960
APPH10058911921,15.75,1741
APPH10059866547,24,949
APPH10073488917,18.25,255
APPH10080498912,24,326
APPH10082592704,14.85,1499
APPH10096677147,15.25,2153
APPH10098491926,20,509
APPH10099853144,20,609
APPH10106147324,14.85,2845
APPH10107641547,17.5,804
APPH10147741343,20,926
APPH10158505149,37,362
APPH10185389123,17,1327
APPH10205217143,18.4,592
APPH10206831915,19,1271
APPH10227992129,18.15,1208
APPH10251245338,20,530
APPH10270623708,18.15,1000
APPH10274163332,31.5,1291
APPH10294274743,15.25,1458
APPH10315016527,20,583
APPH10335941727,13.5,339
APPH10365633126,17.5,1292
APPH10375392724,16.5,944
APPH10396573735,14.85,581
APPH10405134735,20,814
APPH10418838309,16,851
APPH10424398736,17,577
APPH10432071732,35.5,785
APPH10434948926,13.99,1025
APPH10445551128,13.5,3394
APPH10450995704,31.5,811
APPH10452879114,20,509
APPH10498962703,17,2982
APPH10505392303,18.4,727
APPH10514792333,13.99,1163
APPH10525065708,27,864
APPH10529544732,18.25,562
APPH10532477722,14.85,1388
APPH10532802548,28.5,1195
APPH10533872349,20,509
APPH10537364514,35.5,864
APPH10539734305,14.49,800
APPH10546261734,20,265
APPH10546335744,31.5,982
APPH10552787902,13.5,1018
APPH10555707145,37,953
APPH10560116338,14.85,948
APPH10577007139,13.99,2213
APPH10593124506,18.15,1146
APPH10602617538,15,1280
APPH10603146712,19.75,909
APPH10611846104,15.25,699
APPH10618595903,18.5,257
APPH10647433534,15.25,348
APPH10686976739,24,1553
APPH10687094923,20,913
APPH10695735118,18.25,766
APPH10700642149,18.4,251
APPH10705175716,18.4,896
APPH10713495127,16.75,1465
APPH10753062523,13.75,1573
APPH10776177905,15.5,1462
APPH10812412522,13.99,1167
APPH10826653503,24,1962
APPH10837551501,20,874
APPH10841306326,13.25,3234
APPH10867226132,17,746
APPH10869432749,13.99,1994
APPH10879686333,15.5,1203
APPH10886883523,13.99,814
APPH10893353544,15.5,1404
APPH10895072509,15,1047
APPH10900962726,13.99,1885
APPH10911948145,17.5,4452
APPH10915709307,33,221
APPH10932983729,16.25,1223
APPH10935077902,28.5,1124
APPH10969441741,35.5,588
APPH10973262924,16.75,742
APPH20043336349,28.5,703
APPH20057155533,16.75,977
APPH20057474706,18.25,974
APPH20069807344,15.25,972
APPH20073205127,20,517
APPH20103544336,15.5,1462
APPH20120411906,27,1347
APPH20140011513,15.5,487
APPH20145147716,28.5,441
APPH20151399313,14.85,555
APPH20154443517,15.25,1458
APPH20158569521,28.5,1195
APPH20159184324,14.85,1452
APPH20164614908,31.5,369
APPH20170263125,13.25,3432
APPH20187332109,13.99,683
APPH20192626733,18.4,545
APPH20204502915,18.25,766
APPH20216415738,13.49,1002
APPH20224935148,19.75,264
APPH20248776518,13.99,480
APPH20254345542,20,509
APPH20266701937,20,1086
APPH20267532528,13.99,898
APPH20285439712,13.99,898
APPH20290695933,31.5,433
APPH20292257312,15.25,1005
APPH20307324708,20,2093
APPH20312773908,18.4,947
APPH20313189101,18.15,206
APPH20338271936,13.99,1367
APPH20342454723,14.85,1038
APPH20349499323,15.25,486
APPH20363738519,13,1905
APPH20383003716,20,1166
APPH20385111119,18.5,821
APPH20415687913,14.85,1944
APPH20443224106,15.5,1203
APPH20444626124,13.49,812
APPH20446999542,13.99,1421
APPH20454124721,15.75,350
APPH20465883912,20,1060
APPH20473216317,15.25,2512
APPH20473455315,20,530
APPH20477971706,16.75,575
APPH20483937107,13,1115
APPH20486412126,18.4,1076
APPH20503798732,13.5,3451
APPH20504345321,13,455
APPH20508966521,24,652
APPH20517923308,14.25,1702
APPH20537453308,19,778
APPH20544515919,15.25,2392
APPH20555811917,15.5,1376
APPH20593655517,18.25,944
APPH20594853344,20,795
APPH20596209323,19,1375
APPH20596396905,15.25,1196
APPH20597006116,20,763
APPH20597014112,13.5,3451
APPH20604347929,18.25,500
APPH20626289917,20,1115
APPH20634243902,35.5,393
APPH20635362748,13.5,1433
APPH20636519945,18.15,1414
APPH20637682109,17,497
APPH20658157119,20,595
APPH20662866306,31.5,959
APPH20673017944,37,1045
APPH20673588724,20,1007
APPH20684565541,20,548
APPH20706651911,20,1065
APPH20716547913,35.5,864
APPH20725339523,24,1337
APPH20733396541,16.75,742
APPH20773015116,15.5,241
APPH20787738146,14.85,1897
APPH20797008514,18.15,1031
APPH20807396907,15.5,1203
APPH20830967111,13.49,1012
APPH20832999944,17,577
APPH20836284509,19,519
APPH20836583914,19,1136
APPH20858913533,18.5,978
APPH20888612723,15.25,1794
APPH20950125745,16.75,1149
APPH20955255728,31.5,701
APPH20965331907,14.85,555
APPH20967855114,31.5,885
APPH20994501723,13.99,698
APPH30012322337,18.5,847
APPH30022836702,28.5,416
APPH30031059922,18.15,1001
APPH30044735112,20,926
APPH30045725515,16.75,742
APPH30059573332,17,746
APPH30064015709,28.5,625
APPH30069946302,20,1115
APPH30073431708,13.99,1913
APPH30078327147,13,1138
APPH30081197308,16.75,1279
APPH30110057717,14.85,2205
APPH30125064934,31.5,885
APPH30126652501,20,372
APPH30143898307,20,2172
APPH30145161127,20,1522
APPH30145509913,20,1522
APPH30150639303,14.85,1730
APPH30174986138,19,934
APPH30190204342,20,1060
APPH30195254712,15.5,529
APPH30196245315,13.99,1163
APPH30211792702,20,372
APPH30225876949,19,1064
APPH30231663733,14.85,484
APPH30253139105,14.49,1721
APPH30257958703,13.99,2213
APPH30286215312,31.5,688
APPH30300002533,13.75,2530
APPH30336739534,11.99,3159
APPH30347154533,18.15,1732
APPH30350516327,14.85,1776
APPH30350983111,18,2031
APPH30371718317,15.25,1356
APPH30375314118,13.99,1396
APPH30383529527,15.25,1196
APPH30384287526,14.85,451
APPH30422261725,20,768
APPH30429571518,20,304
APPH30434738533,18.15,1090
APPH30435309521,14.85,865
APPH30440606509,15.25,1292
APPH30443617532,15.75,586
APPH30449566519,16.75,1236
APPH30458399313,13.75,1921
APPH30462998935,14.85,1518
APPH30463524336,20,1696
APPH30468387129,13,683
APPH30470082113,20,372
APPH30470255911,20,397
APPH30478136312,15.5,349
APPH30482406303,18.5,502
APPH30496725948,20,743
APPH30511434314,28.5,1451
APPH30514032328,20,1853
APPH30516867326,13,1138
APPH30517914733,15.5,914
APPH30520444924,28.5,1195
APPH30521903702,13.99,898
APPH30536728949,20,874
APPH30550263126,15.5,905
APPH30562242314,16.25,1223
APPH30569355545,16.15,568
APPH30571061544,20,509
APPH30589865129,15.25,904
APPH30591392107,14.85,290
APPH30604344946,16.35,1818
APPH30604691931,20,509
APPH30605531128,31.5,701
APPH30612297308,20,1192
APPH30617624711,31.5,701
APPH30620269543,19,1038
APPH30681895129,28.5,416
APPH30685516347,18.4,888
APPH30689766302,31.5,738
APPH30720916709,28.5,416
APPH30723891137,14.85,474
APPH30728039538,18.25,1652
APPH30746552902,17.5,1077
APPH30747029923,18.25,472
APPH30750365714,27,1817
APPH30790754701,19,504
APPH30802248302,13.25,3787
APPH30804663702,16.75,742
APPH30809928335,17,497
APPH30810042714,19,1297
APPH30810057506,18.4,364
APPH30888375932,16.75,865
APPH30890577537,15.25,486
APPH30897319108,18.4,256
APPH30913995114,29,838
APPH30917446148,31.5,1070
APPH30917638325,18.25,708
APPH30927254708,20,609
APPH30938299716,13.5,1881
APPH30951596746,35.5,982
APPH30955835502,19,598
APPH30956552133,31.5,688
APPH30965825742,16.75,862
APPH30984506305,16.75,1379
APPH30986118903,16.75,742
APPH30999955117,13.99,342
APPH40009072704,16.25,1472
APPH40011079136,13.49,1357
APPH40022535533,14.85,1388
APPH40028961309,15.25,696
APPH40066087104,16.25,734
APPH40075179906,16.75,816
APPH40104982506,16.75,989
APPH40110635105,15.75,564
APPH40118573948,16.75,1379
APPH40124542512,16.75,791
APPH40144174713,15,903
APPH40144404749,18.25,590
APPH40189948728,31.5,738
APPH40198224329,23.5,2327
APPH40206001524,15.25,2392
APPH40223124312,15.25,478
APPH40248792327,15.25,1674
APPH40262494924,18.5,744
APPH40288073918,31.5,959
APPH40290978301,35.5,982
APPH40291612111,13.99,1530
APPH40294004323,15.5,1746
APPH40295801549,35.5,455
APPH40297831909,15.25,1044
APPH40303843912,20,874
APPH40327681702,15.75,726
APPH40340167144,20,530
APPH40341122138,18.25,726
APPH40344003306,35.5,353
APPH40349367143,14.75,242
APPH40354104527,19,461
APPH40356628924,13,1024
APPH40357468737,16.75,977
APPH40376835748,15.25,3588
APPH40392886743,13.99,814
APPH40407397519,18.5,1097
APPH40407552505,31.5,567
APPH40443601102,18.25,408
APPH40446274939,16.75,1243
APPH40496864707,14.49,1364
APPH40511788906,20,1086
APPH40531576701,14.85,1020
APPH40531963321,15.25,718
APPH40544092519,16.75,575
APPH40548034319,20,372
APPH40554278919,17,577
APPH40558533316,14.85,1388
APPH40570089725,28.5,1476
APPH40622589344,19.75,370
APPH40632183314,20,980
APPH40652127709,16.75,959
APPH40653759904,14.85,3557
APPH40661251121,15.25,348
APPH40666923728,14.75,691
APPH40667749109,37,402
APPH40677652332,13.49,759
APPH40678607932,24,326
APPH40692511508,16,4864
APPH40695397317,16.75,371
APPH40717756105,15.5,698
APPH40722177946,15.5,986
APPH40764318735,31.5,1077
APPH40773915504,16.75,1085
APPH40778764746,18.15,764
APPH40781182107,21.5,2734
APPH40782697733,18.4,592
APPH40782747124,19,1167
APPH40818866744,31.5,433
APPH40820391101,16.75,1063
APPH40839544746,14.85,3557
APPH40841719744,17,713
APPH40841839927,20,530
APPH40867667511,13.49,448
APPH40870621131,18.25,834
APPH40879249132,16.35,2367
APPH40885864725,20,848
APPH40894886313,15.5,722
APPH40902144739,14.49,1129
APPH40922832713,18.25,511
APPH40923761913,18.5,255
APPH40943003707,18.5,898
APPH40954592136,28.5,1406
APPH40969483903,18.4,1127
APPH50008817127,13.5,542
APPH50018039344,20,848
APPH50028935932,31.5,1033
APPH50047466135,14.25,1029
APPH50075965502,13,698
APPH50080038331,19.75,909
APPH50090729511,20,795
APPH50118746525,20,795
APPH50129064513,31.5,701
APPH50140586722,15.25,1808
APPH50164896342,13.99,1025
APPH50185568927,14.85,854
APPH50192059334,18.4,999
APPH50211896727,13.99,1530
APPH50212558744,13.49,1408
APPH50217272131,31.5,866
APPH50232271527,20,874
APPH50233034545,14.25,1170
APPH50241619341,24,834
APPH50266579105,16,2918
APPH50276122112,35.5,294
APPH50293347537,16.75,986
APPH50297718926,15.25,1739
APPH50299497105,24,575
APPH50304287734,14.85,3557
APPH50324482946,13.75,2314
APPH50324839936,13,285
APPH50329214527,18.15,1703
APPH50333754711,18.4,948
APPH50371364745,25.5,2207
APPH50420526538,13.99,1475
APPH50434595716,20,926
APPH50436992146,14.49,1176
APPH50464847304,20,456
APPH50474081301,27.5,1973
APPH50480475114,16.75,742
APPH50486969937,19,778
APPH50491193331,13,933
APPH50502198724,15.25,4175
APPH50506907315,13.75,1157
APPH50509225926,15.25,718
APPH50511041941,18.25,767
APPH50511297716,20,1113
APPH50529503935,20,1060
APPH50531241913,15.25,4519
APPH50535539919,15.75,1209
APPH50553145749,19.75,508
APPH50568241739,13,951
APPH50573002545,13,2730
APPH50576104529,12.99,2480
APPH50584838111,17,1243
APPH50613018535,17,866
APPH50632933919,15.5,577
APPH50634561914,14.85,1636
APPH50638175906,13.99,2049
APPH50655111749,31.5,701
APPH50655427935,15.25,478
APPH50675824913,31.5,959
APPH50691988302,16.75,519
APPH50718488309,13.99,1694
APPH50729238947,18.25,177
APPH50732855939,13.99,2459
APPH50739516333,18,1270
APPH50741949716,20,372
APPH50754897543,31.5,433
APPH50786219528,18.15,1767
APPH50789353323,13.99,1475
APPH50793637341,19,1012
APPH50822827735,20,509
APPH50824492549,15.25,1808
APPH50860411517,15.5,962
APPH50904766529,13.99,1279
APPH50914043536,15.75,705
APPH50924398114,20,926
APPH50927985737,24,326
APPH50940359313,19,1012
APPH50954339142,24,652
APPH50984057919,16.75,1112
APPH50993024511,20,926
APPH50998265704,18.15,1119
APPH60003806337,18.25,766
APPH60004175327,13.5,1188
APPH60021871504,18.4,512
APPH60027874535,24,1438
APPH60037908948,18,587
APPH60052904114,14.85,968
APPH60054097142,31.5,1070
APPH60064223534,28.5,562
APPH60066335522,21.5,3748
APPH60070532748,15.25,224
APPH60073226707,16.75,497
APPH60094826125,13.99,1776
APPH60114207513,14.85,1360
APPH60117325736,18.15,1031
APPH60135664901,14.85,692
APPH60142677314,14.85,4082
APPH60144262135,24,834
APPH60157393322,15.5,722
APPH60159104533,13.75,1703
APPH60160104346,12.99,2730
APPH60183039535,31.5,959
APPH60186199713,28.5,331
APPH60234709749,18.15,1060
APPH60239627129,19,1090
APPH60244103708,15.5,938
APPH60245203938,37,464
APPH60246984724,15.25,13556
APPH60247601509,18,1473
APPH60248224332,16,486
APPH60264765549,17,577
APPH60280937923,15.5,986
APPH60281199548,20,530
APPH60286656702,16.75,890
APPH60329403904,31.5,567
APPH60332942941,28.5,878
APPH60333055121,20,795
APPH60333821148,15.5,1203
APPH60339653507,18,587
APPH60342766949,18.15,1178
APPH60348707726,19.75,2635
APPH60349215126,16.15,1762
APPH60351179735,20,1060
APPH60355527742,13.99,465
APPH60368496333,15.25,1044
APPH60391148339,20,304
APPH60391944521,16.75,1896
APPH60409249128,24,1891
APPH60413385931,15.25,280
APPH60428391122,14.49,1434
APPH60430479917,31.5,433
APPH60433936901,16.75,494
APPH60441199124,18.25,817
APPH60444549506,13,893
APPH60446676708,14.85,3557
APPH60458455702,23.5,1616
APPH60463922545,35.5,864
APPH60473287936,16.75,494
APPH60475228541,16.75,201
APPH60497272511,18,998
APPH60499299114,13.99,683
APPH60524639341,20,6670
APPH60526976305,13.49,1610
APPH60538668712,28.5,968
APPH60545732115,16.75,287
APPH60560787142,14.99,1189
APPH60568804524,13,939
APPH60571334736,31.5,885
APPH60577334502,17,497
APPH60578379105,18.15,1019
APPH60578683912,20,509
APPH60581274544,19.75,1388
APPH60585269937,18.25,500
APPH60645438144,18.4,896
APPH60658121723,20,426
APPH60676036542,18.15,382
APPH60679764937,37,464
APPH60690229534,20,509
APPH60704292538,18,1012
APPH60710818314,13.99,1709
APPH60713764914,14.85,451
APPH60726144707,14.85,1707
APPH60726558103,31.5,738
APPH60730483514,18,499
APPH60736643916,15.25,839
APPH60739859113,19,598
APPH60740584529,22,1910
APPH60757086303,20,768
APPH60792015532,37,464
APPH60793359543,29,1552
APPH60793515106,24,1057
APPH60800476918,32.5,678
APPH60814899127,13.99,1163
APPH60817782941,18.15,943
APPH60824386904,16.75,1034
APPH60828041706,20,1115
APPH60834392529,16.75,911
APPH60849867123,20,795
APPH60866033739,20,509
APPH60872396711,20,1086
APPH60879333304,18.15,589
APPH60885835939,14.85,3557
APPH60908079144,13.99,1421
APPH60925353507,13.5,2301
APPH60927677123,24,2942
APPH60939945902,18.15,589
APPH60950381533,15.75,1064
APPH60950793136,14.85,1915
APPH60959592908,11.99,3949
APPH60959983515,16.25,1223
APPH60974046917,16.75,791
APPH60981902717,17.5,1105
APPH60994178538,20,265
APPH70007311116,20,450
APPH70010208328,20,509
APPH70023312541,11.99,3949
APPH70046609332,14.25,1715
APPH70055045307,20,304
APPH70086912933,28.5,527
APPH70103724902,13.99,1967
APPH70105616723,16,567
APPH70108225138,15.5,481
APPH70114439701,14.5,688
APPH70114767341,13.99,2119
APPH70123149903,17,289
APPH70124146337,14.85,968
APPH70133671324,19,1297
APPH70142005915,18.25,508
APPH70148698348,19,1167
APPH70151364138,20,1374
APPH70174462539,20,848
APPH70180422339,20,1086
APPH70181643721,19,1167
APPH70207671531,14.85,692
APPH70208482728,18.4,896
APPH70210049914,13,674
APPH70222906926,31.5,996
APPH70226368324,31.5,369
APPH70240067532,20,530
APPH70252082143,20,1060
APPH70257374147,15.5,1684
APPH70276749912,15.25,239
APPH70321721115,15.5,1010
APPH70328576113,20,848
APPH70341173544,16.75,791
APPH70352242124,15,3568
APPH70361025714,12.99,2707
APPH70362755933,15.5,698
APPH70379216529,18.4,384
APPH70394998148,20,763
APPH70402055937,18.25,980
APPH70448609515,20,1858
APPH70479078712,17,1283
APPH70482201338,18.4,364
APPH70485517539,20,954
APPH70487524932,20,1522
APPH70491911944,13.99,465
APPH70508147348,20,768
APPH70509433501,14.75,967
APPH70521844714,15.5,1203
APPH70523663943,28.5,1370
APPH70540154306,31.5,959
APPH70542635323,20,927
APPH70557358339,13.99,814
APPH70569399725,16.75,791
APPH70570494946,18.5,950
APPH70582109714,24,921
APPH70586223336,13.99,273
APPH70588791131,20,1325
APPH70589907712,24,529
APPH70640314942,20,967
APPH70641775327,20,397
APPH70674441135,18.4,1127
APPH70675456511,35.5,785
APPH70676406131,20,791
APPH70711062744,20,882
APPH70731345503,20,874
APPH70736896721,31.5,1070
APPH70756312107,14.85,1755
APPH70766585541,16.75,494
APPH70775467302,20,927
APPH70805643316,13,893
APPH70833756546,16.75,287
APPH70840926725,17.75,1494
APPH70842842346,16.75,575
APPH70847009116,20,1325
APPH70877877942,15.75,1209
APPH70882718108,16.75,1063
APPH70892859713,15.25,1398
APPH70892982919,15.25,486
APPH70893405509,20,2093
APPH70912293308,31.5,369
APPH70936298928,33,378
APPH70944493707,15.25,861
APPH70953781733,20,795
APPH70963749747,14.25,1016
APPH70974819734,14.85,3247
APPH80002485922,20,874
APPH80010161934,23.5,1616
APPH80037965142,20,1018
APPH80042336914,14.49,1176
APPH80057284325,20,265
APPH80064138534,15.75,1209
APPH80071307112,18.4,896
APPH80086477547,28.5,1166
APPH80089932737,13.99,1967
APPH80104227145,31,1352
APPH80135674343,18.25,738
APPH80136401732,28.5,1054
APPH80172445711,18.25,500
APPH80177515539,13,951
APPH80185694523,16.15,3488
APPH80203443326,24,288
APPH80217152931,19,778
APPH80221822327,28.5,1124
APPH80224166732,28.5,1195
APPH80224575345,15.5,487
APPH80248286109,15.5,962
APPH80265584101,31.5,567
APPH80266567715,13.5,1516
APPH80268831514,15.25,1196
APPH80274922522,20,1007
APPH80286932736,16.2,908
APPH80303921745,37,402
APPH80310233728,20,768
APPH80321436706,31.5,775
APPH80342484121,13,1341
APPH80344615732,16.75,717
APPH80346808336,13,1593
APPH80351854118,18.4,1024
APPH80379114922,20,1166
APPH80380987542,16.75,717
APPH80414666942,20,509
APPH80415045501,31.5,959
APPH80429185736,14.85,1985
APPH80437339308,13.5,1864
APPH80449583322,17,1212
APPH80458659124,24,815
APPH80462122513,18.4,896
APPH80466167539,13.25,2746
APPH80467085745,20,954
APPH80477054517,20,874
APPH80479083527,13.99,2459
APPH80516891719,13.99,2213
APPH80527394324,13.99,1475
APPH80533887746,18.5,728
APPH80535499749,16.75,948
APPH80552867511,28.5,416
APPH80564299717,13.99,683
APPH80569045536,15.25,1435
APPH80577155912,20,2649
APPH80593964304,18.25,1276
APPH80618055903,20,2093
APPH80622667138,13.99,342
APPH80627527734,16.75,1112
APPH80634462711,18.15,1743
APPH80636895339,18.4,1101
APPH80638167121,20,1696
APPH80642516523,19,908
APPH80651185941,15.5,241
APPH80657408732,18.25,500
APPH80657517525,13.99,1749
APPH80660013915,20,1760
APPH80661603149,13,2275
APPH80675861717,16.75,711
APPH80677546914,15.5,481
APPH80680538136,32.5,1221
APPH80681194347,23.5,970
APPH80681533316,20,2305
APPH80685058533,15.25,696
APPH80712202317,13,1878
APPH80717445326,15.5,1067
APPH80733368734,31.5,885
APPH80740922113,15.75,564
APPH80742887127,37,322
APPH80743812333,15.5,1431
APPH80758007548,20,1115
APPH80762497745,14.85,1660
APPH80769597123,20,1166
APPH80786196107,20,1522
APPH80820485749,18.25,649
APPH80839456124,20,509
APPH80846915301,15.25,348
APPH80855283534,20,509
APPH80859231119,18.5,1129
APPH80865835934,35.5,228
APPH80869203929,17.5,1683
APPH80874239113,20,609
APPH80882649347,20,372
APPH80883884517,14.25,3020
APPH80895143319,20,609
APPH80906867705,14.85,346
APPH80912932715,13.49,1150
APPH80915031729,20,556
APPH80924347523,15.75,484
APPH80927538735,35.5,707
APPH80933391527,35.5,353
APPH80941678709,13.49,1791
APPH80946601319,28.5,1249
APPH80948629341,14.85,711
APPH80956764101,13,3328
APPH80958313748,13.49,1543
APPH80968576323,16.75,1436
APPH80989314744,16.35,1141
APPH80994435346,19,259
APPH90013758541,18.15,884
APPH90024047501,15.5,349
APPH90030326116,14.25,702
APPH90044991922,18.5,770
APPH90053133907,31.5,1180
APPH90069974728,14.85,1693
APPH90080701712,14.85,474
APPH90080847546,28.5,1441
APPH90083356909,17.5,646
APPH90087533918,14.85,1915
APPH90089856312,37,325
APPH90096799509,20,372
APPH90101821741,17,1839
APPH90103463326,18.4,727
APPH90114984537,18.4,1076
APPH90128157137,20,1192
APPH90136794139,16.75,742
APPH90136811548,15.5,1047
APPH90147496705,16.75,1310
APPH90152095311,17.5,1077
APPH90177307133,18.25,384
APPH90185817339,28.5,1230
APPH90196794728,14.9,5000
APPH90203737537,16.75,840
APPH90213098547,13.99,3333
APPH90221056342,20,1060
APPH90223563517,16.75,355
APPH90260643116,15.35,840
APPH90263938325,20,795
APPH90264116514,13,2275
APPH90284473737,18.15,750
APPH90288788131,20,1060
APPH90289123106,20,372
APPH90294507742,31.5,922
APPH90323142932,20,1007
APPH90340525904,14.85,1683
APPH90368631936,32.5,438
APPH90398945916,31.5,885
APPH90403992716,20,509
APPH90405205922,31.5,567
APPH90418905311,24,1151
APPH90419146705,28.5,1041
APPH90437341921,28.5,1089
APPH90441562928,16.75,766
APPH90466534702,20,530
APPH90480621718,18.15,652
APPH90484755125,35.5,588
APPH90485729518,17.5,582
APPH90493942312,18.25,767
APPH90506997526,31.5,454
APPH90519204931,20,372
APPH90528448112,13,337
APPH90537773529,20,372
APPH90545959739,20,3974
APPH90549274929,19,1555
APPH90549701946,18.4,919
APPH90553671321,15.25,559
APPH90561932133,15.5,241
APPH90591156129,19,1196
APPH90609161911,18.4,364
APPH90611087343,20,715
APPH90611765921,31.5,1070
APPH90614847319,18.5,364
APPH90629446319,28.5,774
APPH90649982507,18.5,593
APPH90659503347,13.99,1861
APPH90708175916,17,1443
APPH90726472739,28.5,1166
APPH90748154513,31.5,433
APPH90768101125,28.5,943
APPH90796889911,28.5,1300
APPH90802219938,12.99,893
APPH90816187721,16.75,742
APPH90829576331,18.4,501
APPH90835198712,14.85,692
APPH90845753301,15.5,487
APPH90853986337,18.15,943
APPH90863703141,20,913
APPH90879271913,18.25,944
APPH90922613713,15.25,559
APPH90922711924,35.5,1021
APPH90925095701,18.4,1076
APPH90933246528,20,1033
APPH90945323137,11.99,2633
APPH90956098911,13.49,1272
APPI10004382632,14.85,484
APPI10015729829,31.5,1291
APPI10016477414,13.99,1503
APPI10032559847,15.25,1808
APPI10059493616,13.5,3903
APPI10070041607,16.75,840
APPI10071228606,15.5,481
APPI10075194215,16.75,1580
APPI10084151417,13.99,2119
APPI10085122819,13.99,1025
APPI10088469213,35.5,455
APPI10107515843,18.25,740
APPI10109409007,13.99,2280
APPI10113274846,13.99,546
APPI10117644841,14.49,1059
APPI10127728241,16.75,493
APPI10135118623,16.75,493
APPI10137946412,15.5,1047
APPI10173469616,13.5,3451
APPI10177418005,16.75,355
APPI10202632631,16.75,1005
APPI10205452435,15.25,904
APPI10220453201,20,980
APPI10224102423,37,357
APPI10225579614,15,952
APPI10229387642,14.85,1038
APPI10244433231,13,2002
APPI10250675016,16.25,1472
APPI10258879632,28.5,1476
APPI10263137836,20,304
APPI10279128613,14.85,902
APPI10280707845,14.85,1186
APPI10293969605,35.5,1060
APPI10321671201,13.5,542
APPI10326462601,20,1858
APPI10329919219,14.85,484
APPI10354248247,19.75,741
APPI10357476401,14.5,720
APPI10368424623,13.5,1381
APPI10379822843,14.25,1071
APPI10383732618,35.5,455
APPI10385973204,18.25,511
APPI10387634826,15.75,484
APPI10395068841,31.5,567
APPI10417006004,18.15,1178
APPI10424981621,18,1270
APPI10427465604,15.5,241
APPI10427474413,13,1342
APPI10430752642,15.25,2916
APPI10433551428,20,1018
APPI10439227016,14.85,346
APPI10473336829,18.25,1276
APPI10488994024,15.25,4138
APPI10492796842,20,913
APPI10493644035,24,1179
APPI10507226603,15.25,718
APPI10525547215,13.99,1475
APPI10543841045,18.25,472
APPI10554231207,19,1167
APPI10558163036,18.25,726
APPI10559997242,15.25,478
APPI10564401225,13,1685
APPI10566442631,15.25,559
APPI10575177431,20,1115
APPI10601874821,14.85,237
APPI10604981417,20,344
APPI10605642417,15.5,1203
APPI10610524415,15.25,478
APPI10622343432,13.49,1725
APPI10634072404,20,456
APPI10652622042,16.75,742
APPI10674954829,18.15,1090
APPI10708901417,14.49,1176
APPI10715332844,13.49,1219
APPI10723771244,18.25,1149
APPI10726914418,27,1611
APPI10735206832,24,1597
APPI10737067011,17,1783
APPI10752215426,18.25,363
APPI10760932642,15.5,1203
APPI10790894604,20,509
APPI10796767025,22,382
APPI10799468847,20,743
APPI10799811626,16,4864
APPI10807875415,13,1073
APPI10808834823,24,834
APPI10818323227,14.8,474
APPI10818521211,15.75,977
APPI10833076602,32.5,1153
APPI10835465444,14.85,901
APPI10841966418,20,980
APPI10855807822,15.35,697
APPI10912943242,20,743
APPI10915365643,20,265
APPI10925501214,20,822
APPI10932377833,15.75,1330
APPI10933556613,31.5,567
APPI10941878807,15.25,559
APPI10997305038,28.5,666
APPI10997541809,28.5,975
APPI10999398643,13,455
APPI20024464416,31.5,866
APPI20029345844,19.75,1015
APPI20032531241,18.15,1095
APPI20036296848,30.5,880
APPI20040701025,15.25,1196
APPI20044777032,14.5,1131
APPI20056272444,33,485
APPI20105425827,18.25,638
APPI20109447415,15.25,839
APPI20133849627,13,956
APPI20160285215,19,252
APPI20184228623,20,372
APPI20190843836,20,1491
APPI20197189218,18.15,1848
APPI20218463015,16.75,493
APPI20231285212,24,392
APPI20237554239,13.5,230
APPI20252048016,13.5,3221
APPI20259462831,16.75,717
APPI20263522233,13.99,744
APPI20263681443,20,372
APPI20266932612,20,874
APPI20268375804,16.75,888
APPI20275038837,13.99,960
APPI20282653842,26.5,2312
APPI20289661806,18.15,1232
APPI20308607027,20,1007
APPI20313658027,16,567
APPI20326278209,14.85,142
APPI20335838024,18.15,1274
APPI20356064004,20,1060
APPI20358209448,18.4,545
APPI20358918816,16.75,977
APPI20362413446,37,723
APPI20372662644,15.25,1196
APPI20373298008,31.5,885
